id,name,country,date,website
mtavietnam,MTA Vietnam 2015,Vietnam,07-10 July 2015,http://www.mtavietnam.com
mdme,MD&M East 2015,United States,18-20 Jun 2015
bevtecasia,Bevtec Asia 2015,Thailand,06-08 May 2015
mta,MTA 2015,Singapore,14-17 Apr 2015
ma,Metrology Asia 2015,Singapore,14-17 Apr 2015
mdmw,MD&M West 2015,United States,11-13 Feb 2015
indometal,Indometal 2014,Indonesia,11-13 Dec 2014
mi,Manufacturing Indonesia,Indonesia,03-06 Dec 2014
ogmt,OGm Tech 2014,Singapore,02-05 Dec 2014
compamed,CompaMed 2014,Germany,20-22 Nov 2014
pri,Plastic & Rubber Indonesia,Indonesia,19-22 Nov 2014
mm,Manufacturing Myanmar,Myanmar,02-04 Oct 2014
