no,index,registration,name,address,postcode,tel,fax
1,number,200509556E,4T TECHNOLOGIES PTE. LTD.,One Temasek Ave #24-01B ,39192,63392056,63394056
2,a,200305263H,Add Value Metrology Pte Ltd,"Blk 4009, Ang Mo Kio Ave 10, #01-35",569738,64533105,
3,a,200407018G,ADSPARK TECHNOLOGIES PTE. LTD.,402 Admiralty Link #04-16,750402,63440015,67546602
4,a,199003519R,ADVANCED MATERIALS TECHNOLOGIES PTE LTD,"No.3, Tuas Lane",638612,68636551,68636550
5,a, 199902434H,ADVANCED MANUFACTURING TOOLS PRIVATE LIMITED,"141, MIDDLE ROAD, #04-07",188976,68442117,68442127
6,a,198901933H,AIDA GREATER ASIA PTE. LTD.,"1, Bukit Batok Crescent #02-60",658064,65073555,65073553
7,a,,Alcotec Precision Engrg Pte Ltd,Blk 31 Defu Lane 10 #04-68,539212,63836132,63836130
8,a,200605569H,AME International Pte Ltd,20 Tuas South Street 5,637797,65587875,65587835
9,a,,Amtek Precision Technology Pte Ltd,298 Tiong Bahru #17-01 ,168730,62640033,62652510
10,a,200406573E,ANSON INDUSTRIES TECHNOLOGIES PTE. LTD.,"3014A, UBI ROAD 1, #02-08",408703,67497557,67421551
11,a,,Armstrong Industrial Corp. Ltd,531 Bukit Batok Street 23,659547,66658555,66658665
12,a,200704963H,ASIA SUPPLY TRADING PTE. LTD.,"7, SOON LEE STREET, #05-26, Ispace",627608,62456355,63476181
13,a,,ASSAB Steels Singapore (Pte) Ltd,18 Penjuru Close,608616,68622200,68620162
14,a,,ASTech Pte Ltd,"Blk 5, Ang Mo Kio Industrial Park 2A #07-37 ",567760,65562890,65555783
15,a,,ATA Industrial (Pte) Ltd ,60 Paya Lebar Raod #12-05,409051,67470222,
16,a,,Avantek Pte Ltd,"21, Senoko Way ",758043,67594421,67593421
17,b,201426291G,BFS Metal International Pte Ltd,175A Bencoolen Street #07-05 ,189643,62381568,62380797
18,b,,Blum Production Metrology Pte Ltd,120 Lower Delta Road #04-03 Cendex Centre,169208,62720998,62720229
19,b,,Bossard  Pte  Ltd,"10 Pandan Crescent #06-05/06,  UE  Tech Park Lobby 3",128466,67782515,67781581
20,b,,Bruderer Presses (Far East) Pte Ltd,65 Loyang Way,508755,65468121,65468131
21,c,,Cairnhill Metrology Pte Ltd,"5,Jln Kilang Barat #07-05/06 Petro Ctr",159349,68900053,65675940
22,c,200003708R,CFM HOLDINGS LIMITED,"4, ANG MO KIO AVENUE 12, CFM Building, #05-01",569498,64812888,64811122
23,c,,Choong Heng Plastics Pte Ltd,"32, Ang Mo Kio Ind. Park 2 #02-10,   Sing Ind. Complex",569510,64821532,64817876
24,c,,Cicor Ecotool Pte Ltd,"45, Changi South Ave. 2, #04-00",486133,65455030,65450032
25,c,200918475C, CLEFTON PRECISION PTE. LTD.,1 TUAS VIEW PLACE #01-09 WESTLINK ONE ,637433,66841084,66841109
26,c,,Cragar Industries Pte Ltd," 6, Yishun Industrial Street 1,  #03-13 North View BizHub",768090,68533029,68533069
27,c,201219797H,Creatz3D Pte Ltd,180 Paya Lebar Road #08_07 Yi Guang Factory Building,409032,85716067,67471760
28,d,,Daido Amistar (S) Pte Ltd,"21, Senoko South Rd, Woodlands East",758079,67581611,67529457
29,d,,DMG Mori Seiki S.E.A. Pte Ltd,"3, Tuas Link 1",638548,66606651,62623353
30,d,,Dynacast Singapore Pte Ltd,6 Second Chin Bee Road,618773,62687644,62651652
31,d,,Dynacode Systems Pte Ltd,102E Pasir Panjang Rd #04-03,118529,64743822,64743400
32,e,,Erowa South East Asia Pte Ltd       ,"2, Ubi View #03-03",408556,65474339,
33,e,,Eureka Tools Pte Ltd,194 Pandan Loop #04-10 Pantech Bus.Hub,128383,68745781,68745782
34,f,,Fischer Tech Ltd,"12, Loyang Way 4",507602,65422338,65423088
35,f,,Fitson Singapore Pte Ltd,Blk 625 Aljunied Road #06-04A Aljunied Industrial Complex,389836,68485885,
36,f,,Flexspeed Technology Pte Ltd,"Blk 211 Woodlands Ave 9 #06-79, Spectrum II",738960,68533933,68533733
37,f,,Fong Lee Metal Industries Pte Ltd,"127 Pioneer Road, Jurong",639594,68617879,68617080
38,f,,Fong Shen Mould & Prec.Engrg Pte Ltd,"12, Loyang Lane",508926,65452228,65461878
39,f,,Fong's Engrg & Mfg. Pte Ltd,"79, Loyang Way ",508766,67856465,67851001
40,f,,Fu Yu Corporation Ltd,"10, Tuas Drive 1",638677,65787348,65787347
41,f,,Fujicon Engineering Pte Ltd,"No.2, Tuas Link 1, Jurong Industrial Estate",638590,68634011,68634022
42,g,,GF Machining Solutions Pte Ltd,"130 Joo Seng Road #04-01, Olivine Bldg.",368357,62810341,62840415
43,g,,GMET International Pte Ltd,"6 Tagore Drive #04-12, Tagore Ind. Bldg",787623,64537152,62709838
44,g,,GP Manufacturing (S) Pte Ltd,"No. 2, Loyang St, Loyang Ind. Estate",508837,65429233,65429133
45,g,,GS Precision Pte Ltd,"Blk 5004, Ang Mo Kio Ave 5 #02-06",569872,67557633,67557783
46,g,,Guhring (Singapore) Pte Ltd,"21, Bukit Batok Crescent, #22-80/81 Wcega Tower",658065,63460308,62420388
47,h,,Hi-P International Pte Ltd,11 International Business Park,609926,65656682,65641787
48,h,,HISAKA (Singapore) Pte Ltd,"63, Sungei Kadut Loop, HISAKA Ind. Bldg.",729484,64551311,64550311
49,h,,Hitech Heat Treatment Svces Pte Ltd,"57, Joo Koon Circle",629071,68632530,68632534
50,h,201319232H,Hiwin Singapore Pte Ltd,Blk 203 Woodlands Avenue 9 #06-51 ,738956,87222038,67486485
51,h,,Hi-Yew Technology Pte Ltd,"Blk 3031A, Ubi Road 3 #01-112",408659,67497418,67486485
52,h,,Hong Chek Co. Pte Ltd.,"180 Paya Lebar Rd #09-07, Yi Guang Factory Bldg.",409032,67461308,67471760
53,h,,Hsiu Fong Machinery (S) Pte Ltd,"1007, Tai Seng Ave, #01-2600",534411,62858200,62858277
54,i,,Ichi Seiki Pte Ltd,"39, Kaki Bukit Road 2",417857,67447600,67447611
55,i,,Idemitsu Lube (Singapore) Pte Ltd,"31, International Business Park, Creative Resoures #05-03/04",609921,66970550,66970599
56,i,198003674G,INTEC PRECISION EQUIPMENT PTE LTD,"7, GUL STREET 4",629237,68621090,68611690
57,i,199406189K,INTERPLEX SINGAPORE PTE. LTD.,"24, RAFFLES PLACE, #24-03",48621,68614076,68614075
58,j,,JCS _ Echigo Pte Ltd,"3, Woodlands Sector 1",738361,63684198,63684196
59,j,,John While Springs (S) Pte Ltd,"1, Kallang Sector #03-02",349276,67490748,67490806
60,j,,JSL Manufacturing Pte Ltd,37 Kallang Place ,339165,63928691,63928693
61,k,,Ka Shin Technologies (S) Pte Ltd,"33, Loyang Crescent ",509014,62527446,62564300
62,k,,Kemet Far East Pte Ltd,"32, Ang Mo Kio Ind. Park 2 #02-12",569510,64820990,64811363
